Site name,Country Name,Description,Coordinates,Region,Inscription date,Criteria
Mill Network at Kinderdijk-Elshout,Netherlands,"The outstanding contribution made by the people of the Netherlands to the technology of handling water is admirably demonstrated by the installations in the Kinderdijk-Elshout area. Construction of hydraulic works for the drainage of land for agriculture and settlement began in the Middle Ages and have continued uninterruptedly to the present day. The site illustrates all the typical features associated with this technology – dykes, reservoirs, pumping stations, administrative buildings and a series of beautifully preserved windmills.",N51 52 57 E4 38 58,"Municipalities of Alblasserdam and Nieuw-Lekkerland, Province of Zuid-Holland",1997,(i)(ii)(iv)
Ir.D.F. Woudagemaal (D.F. Wouda Steam Pumping Station),Netherlands,The Wouda Pumping Station at Lemmer in the province of Friesland opened in 1920. It is the largest steam-pumping station ever built and is still in operation. It represents the high point of the contribution made by Netherlands engineers and architects in protecting their people and land against the natural forces of water.,N52 50 44.988 E5 40 44.004,"Lemmer, Lemsterland Municipality, Province of Friesland",1998,(i)(ii)(iv)
Droogmakerij de Beemster (Beemster Polder),Netherlands,"The Beemster Polder, dating from the early 17th century, is is an exceptional example of reclaimed land in the Netherlands. It has preserved intact its well-ordered landscape of fields, roads, canals, dykes and settlements, laid out in accordance with classical and Renaissance planning principles.",N52 32 56 E4 54 40,Province of Noord-Holland,1999,(i)(ii)(iv)
Rietveld Schröderhuis (Rietveld Schröder House),Netherlands,"The Rietveld Schröder House in Utrecht was commissioned by Ms Truus Schröder-Schräder, designed by the architect Gerrit Thomas Rietveld, and built in 1924. This small family house, with its interior, the flexible spatial arrangement, and the visual and formal qualities, was a manifesto of the ideals of the De Stijl group of artists and architects in the Netherlands in the 1920s, and has since been considered one of the icons of the Modern Movement in architecture.",N52 5 7.2 E5 8 51.2,City and Province of Utrecht,2000,(i)(ii)
Wadden Sea,"Denmark, Germany, Netherlands","The Wadden Sea is the largest unbroken system of intertidal sand and mud flats in the world. The site covers the Dutch Wadden Sea Conservation Area, the German Wadden Sea National Parks of Lower Saxony and Schleswig-Holstein, and most of the Danish Wadden Sea maritime conservation area. It is a large, temperate, relatively flat coastal wetland environment, formed by the intricate interactions between physical and biological factors that have given rise to a multitude of transitional habitats with tidal channels, sandy shoals, sea-grass meadows, mussel beds, sandbars, mudflats, salt marshes, estuaries, beaches and dunes. The area is home to numerous plant and animal species, including marine mammals such as the harbour seal, grey seal and harbour porpoise. Wadden Sea is one of the last remaining large-scale, intertidal ecosystems where natural processes continue to function largely undisturbed.",N53 31 43 E8 33 22,N/A,2009,(viii)(ix)(x)
Seventeenth-Century Canal Ring Area of Amsterdam inside the Singelgracht,Netherlands,"The historic urban ensemble of the canal district of Amsterdam was a project for a new ‘port city’ built at the end of the 16th and beginning of the 17th centuries. It comprises a network of canals to the west and south of the historic old town and the medieval port that encircled the old town and was accompanied by the repositioning inland of the city’s fortified boundaries, the Singelgracht. This was a long-term programme that involved extending the city by draining the swampland, using a system of canals in concentric arcs and filling in the intermediate spaces. These spaces allowed the development of a homogeneous urban ensemble including gabled houses and numerous monuments. This urban extension was the largest and most homogeneous of its time. It was a model of large-scale town planning, and served as a reference throughout the world until the 19th century.",N52 21 54 E4 53 16,N/A,2010,(i)(ii)(iv)
Van Nellefabriek,Netherlands,"Van Nellefabriek was designed and built in the 1920s on the banks of a canal in the Spaanse Polder industrial zone north-west of Rotterdam. The site is one of the icons of 20th-century industrial architecture, comprising a complex of factories, with façades consisting essentially of steel and glass, making large-scale use of the curtain wall principle. It was conceived as an ‘ideal factory’, open to the outside world, whose interior working spaces evolved according to need, and in which daylight was used to provide pleasant working conditions. It embodies the new kind of factory that became a symbol of the modernist and functionalist culture of the inter-war period and bears witness to the long commercial and industrial history of the Netherlands in the field of importation and processing of food products from tropical countries, and their industrial processing for marketing in Europe.",N51 55 24 E4 25 6,N/A,2014,(ii)(iv)
Te Wahipounamu – South West New Zealand,New Zealand,"The landscape in this park, situated in south-west New Zealand, has been shaped by successive glaciations into fjords, rocky coasts, towering cliffs, lakes and waterfalls. Two-thirds of the park is covered with southern beech and podocarps, some of which are over 800 years old. The kea, the only alpine parrot in the world, lives in the park, as does the rare and endangered takahe, a large flightless bird.",S45 2 9.7 E167 19 10.6,Southwest of South Island,1990,(vii)(viii)(ix)(x)
Tongariro National Park,New Zealand,"In 1993 Tongariro became the first property to be inscribed on the World Heritage List under the revised criteria describing cultural landscapes. The mountains at the heart of the park have cultural and religious significance for the Maori people and symbolize the spiritual links between this community and its environment. The park has active and extinct volcanoes, a diverse range of ecosystems and some spectacular landscapes.",S39 17 27 E175 33 44,N/A,1990,(vi)(vii)(viii)
New Zealand Sub-Antarctic Islands,New Zealand,"The New Zealand Sub-Antarctic Islands consist of five island groups (the Snares, Bounty Islands, Antipodes Islands, Auckland Islands and Campbell Island) in the Southern Ocean south-east of New Zealand. The islands, lying between the Antarctic and Subtropical Convergences and the seas, have a high level of productivity, biodiversity, wildlife population densities and endemism among birds, plants and invertebrates. They are particularly notable for the large number and diversity of pelagic seabirds and penguins that nest there. There are 126 bird species in total, including 40 seabirds of which five breed nowhere else in the world.",S50 45 0 E166 6 16,New Zealand Subantartic zone,1998,(ix)(x)
Ruins of León Viejo,Nicaragua,"León Viejo is one of the oldest Spanish colonial settlements in the Americas. It did not develop and so its ruins are outstanding testimony to the social and economic structures of the Spanish Empire in the 16th century. Moreover, the site has immense archaeological potential.",N12 23 49.992 W86 36 37.008,"Puerto Momotombo, Municipality of La Paz Centro, Department of León",2000,(iii)(iv)
León Cathedral,Nicaragua,"Built between 1747 and the early 19th century to the design of Guatemalan architect Diego José de Porres Esquivel, the monument expresses the transition from Baroque to Neoclassical architecture and its style can be considered to be eclectic. The Cathedral is characterized by the sobriety of its interior decoration and the abundance of natural light. The vault of the Sanctuary, however, presents rich ornamentation. The Cathedral houses important works of art including a wooden Flemish altarpiece, and paintings of the 14 stations of the Way of the Cross by Nicaraguan artist Antonio Sarria (late 19th and early 20th centuries).",N12 26 6 W86 52 41,N/A,2011,(ii)(iv)
